# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 8372 4 3 2053 4013430 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-list/bdi
DUPTYPE_WITHIN_SAME_TREE -8372 4 3 2053 4013431 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-list/bdo
DUPTYPE_FIRST_OCCURRENCE 7926 4 4 2053 4013015 1 .emacs.d.spBAK/elpa/pdf-tools-20191031.642/build/server/synctex_parser_version.txt
DUPTYPE_OUTSIDE_TREE -7926 4 4 2053 4003586 2 .emacs.d.Prelude/elpa/pdf-tools-20191031.642/build/server/synctex_parser_version.txt
DUPTYPE_FIRST_OCCURRENCE 8366 4 5 2053 4013424 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-list/abbr
DUPTYPE_WITHIN_SAME_TREE -8366 4 5 2053 4013445 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-list/dfn
DUPTYPE_FIRST_OCCURRENCE 8320 4 6 2053 4013378 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/form-autocomplete
DUPTYPE_WITHIN_SAME_TREE -8320 4 6 2053 4013391 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/input-autocomplete
DUPTYPE_WITHIN_SAME_TREE -8320 4 6 2053 4013412 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/select-autocomplete
DUPTYPE_WITHIN_SAME_TREE -8320 4 6 2053 4013416 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/textarea-autocomplete
DUPTYPE_FIRST_OCCURRENCE 8316 4 8 2053 4013374 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/button-formmethod
DUPTYPE_WITHIN_SAME_TREE -8316 4 8 2053 4013380 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/form-method
DUPTYPE_WITHIN_SAME_TREE -8316 4 8 2053 4013393 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/input-formmethod
DUPTYPE_FIRST_OCCURRENCE 9715 4 8 2053 4016947 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/js2-mode/.yas-parents
DUPTYPE_WITHIN_SAME_TREE -9715 4 8 2053 4016948 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/js3-mode/.yas-parents
DUPTYPE_WITHIN_SAME_TREE -9715 4 8 2053 4017929 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/typescript-mode/.yas-parents
DUPTYPE_FIRST_OCCURRENCE 8774 4 9 2053 4013831 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/.yas-parents
DUPTYPE_WITHIN_SAME_TREE -8774 4 9 2053 4013850 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/.yas-parents
DUPTYPE_WITHIN_SAME_TREE -8774 4 9 2053 4017118 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/ned-mode/.yas-parents
DUPTYPE_WITHIN_SAME_TREE -8774 4 9 2053 4017151 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/nsis-mode/.yas-parents
DUPTYPE_FIRST_OCCURRENCE 9122 4 9 2053 4016354 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/conf-unix-mode/.yas-parents
DUPTYPE_WITHIN_SAME_TREE -9122 4 9 2053 4016766 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/git-commit-mode/.yas-parents
DUPTYPE_FIRST_OCCURRENCE 8324 4 10 2053 4013382 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/global-contenteditable
DUPTYPE_WITHIN_SAME_TREE -8324 4 10 2053 4013385 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/global-spellcheck
DUPTYPE_FIRST_OCCURRENCE 9079 4 10 2053 4016311 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/clojure-mode/.yas-parents
DUPTYPE_WITHIN_SAME_TREE -9079 4 10 2053 4016532 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/elixir-mode/.yas-parents
DUPTYPE_WITHIN_SAME_TREE -9079 4 10 2053 4017290 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/python-mode/.yas-parents
DUPTYPE_WITHIN_SAME_TREE -9079 6 10 2053 4017981 1 .emacs.d.spBAK/layers/+completion/auto-completion/local/snippets/emacs-lisp-mode/.yas-parents
DUPTYPE_FIRST_OCCURRENCE 8850 4 22 2053 4013907 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/c++-mode/.yas-parents
DUPTYPE_WITHIN_SAME_TREE -8850 4 22 2053 4014062 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/c-mode/.yas-parents
DUPTYPE_FIRST_OCCURRENCE 8775 4 53 2053 4013832 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/comment
DUPTYPE_WITHIN_SAME_TREE -8775 4 53 2053 4013851 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/comment
DUPTYPE_FIRST_OCCURRENCE 8782 4 55 2053 4013839 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/apples-mode/on
DUPTYPE_WITHIN_SAME_TREE -8782 4 55 2053 4013858 1 .emacs.d.spBAK/elpa/yasnippet-snippets-20191114.1044/snippets/applescript-mode/on
DUPTYPE_FIRST_OCCURRENCE 7913 4 55 2053 4013003 1 .emacs.d.spBAK/elpa/pdf-tools-20191031.642/build/server/autogen.sh
DUPTYPE_OUTSIDE_TREE -7913 4 55 2053 4003574 2 .emacs.d.Prelude/elpa/pdf-tools-20191031.642/build/server/autogen.sh
DUPTYPE_FIRST_OCCURRENCE 8315 4 64 2053 4013373 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/button-formenctype
DUPTYPE_WITHIN_SAME_TREE -8315 4 64 2053 4013379 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/form-enctype
DUPTYPE_WITHIN_SAME_TREE -8315 4 64 2053 4013392 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/input-formenctype
